Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
81148,Romeo,CO,37.171583,-105.98648,-7,1,37.171583
81423,Norwood,CO,38.082231,-108.2586,-7,1,38.082231
81505,Grand Junction,CO,39.112514,-108.60506,-7,1,39.112514
81624,Collbran,CO,39.220166,-107.93414,-7,1,39.220166
80402,Golden,CO,39.522014,-105.223945,-7,1,39.522014
80235,Denver,CO,39.648328,-105.08431,-7,1,39.648328
80620,Evans,CO,40.378019,-104.70357,-7,1,40.378019
81001,Pueblo,CO,38.282872,-104.57029,-7,1,38.282872
80202,Denver,CO,39.751586,-104.99699,-7,1,39.751586
80454,Indian Hills,CO,39.631254,-105.26071,-7,1,39.631254
81422,Naturita,CO,38.296229,-108.68079,-7,1,38.296229
80720,Akron,CO,40.124199,-103.18362,-7,1,40.124199
81658,Vail,CO,39.624171,-106.497314,-7,1,39.624171
80230,Denver,CO,39.721763,-104.89627,-7,1,39.721763
80836,Stratton,CO,39.29782,-102.59745,-7,1,39.29782
81290,Florence,CO,38.358421,-105.106881,-7,1,38.358421
81062,Olney Springs,CO,38.193937,-103.92275,-7,1,38.193937
80940,Colorado Springs,CO,38.82469,-104.562027,-7,1,38.82469
80946,Colorado Springs,CO,38.82469,-104.562027,-7,1,38.82469
80266,Denver,CO,39.747179,-104.991511,-7,1,39.747179
80329,Boulder,CO,40.087835,-105.373507,-7,1,40.087835
80640,Henderson,CO,39.885202,-104.88339,-7,1,39.885202
80538,Loveland,CO,40.435645,-105.08726,-7,1,40.435645
81429,Paradox,CO,38.371101,-108.969823,-7,1,38.371101
80835,Simla,CO,39.172831,-104.08793,-7,1,39.172831
80432,Como,CO,39.24344,-105.79431,-7,1,39.24344
80546,Severance,CO,40.524987,-104.850544,-7,1,40.524987
80922,Colorado Springs,CO,38.897344,-104.70145,-7,1,38.897344
80653,Weldona,CO,40.36593,-104.00612,-7,1,40.36593
80638,Greeley,CO,40.500919,-104.31497,-7,1,40.500919
81091,Weston,CO,37.193451,-104.97188,-7,1,37.193451
80420,Alma,CO,39.293921,-106.06889,-7,1,39.293921
80831,Peyton,CO,38.96634,-104.54313,-7,1,38.96634
81071,Sheridan Lake,CO,38.44672,-102.24844,-7,1,38.44672
80520,Firestone,CO,40.115501,-104.93637,-7,1,40.115501
80732,Hereford,CO,40.975104,-104.305265,-7,1,40.975104
81332,Rico,CO,37.713158,-108.02585,-7,1,37.713158
80826,Limon,CO,39.041435,-103.604851,-7,1,39.041435
81630,De Beque,CO,39.378823,-108.34069,-7,1,39.378823
81058,Manzanola,CO,38.107593,-103.86848,-7,1,38.107593
81210,Almont,CO,38.778749,-106.62831,-7,1,38.778749
80305,Boulder,CO,39.979691,-105.252586,-7,1,39.979691
80321,Boulder,CO,40.087835,-105.373507,-7,1,40.087835
80238,Denver,CO,39.738752,-104.408349,-7,1,39.738752
81081,Trinchera,CO,37.096255,-104.14826,-7,1,37.096255
81633,Dinosaur,CO,40.377031,-108.398991,-7,1,40.377031
80866,Woodland Park,CO,39.085706,-105.23659,-7,1,39.085706
80532,Glen Haven,CO,40.497758,-105.43325,-7,1,40.497758
81402,Montrose,CO,38.485093,-107.885975,-7,1,38.485093
80470,Pine,CO,39.45658,-105.36876,-7,1,39.45658
80216,Denver,CO,39.784622,-104.96214,-7,1,39.784622
80924,Breckenridge,CO,39.527772,-106.039412,-7,1,39.527772
80232,Denver,CO,39.690387,-105.08866,-7,1,39.690387
80425,Buffalo Creek,CO,39.361089,-105.22472,-7,1,39.361089
80514,Dacono,CO,40.083475,-104.93581,-7,1,40.083475
80534,Johnstown,CO,40.335398,-104.91477,-7,1,40.335398
81212,Canon City,CO,38.464212,-105.27973,-7,1,38.464212
80007,Arvada,CO,39.833442,-105.18591,-7,1,39.833442
80547,Timnath,CO,40.528966,-104.98083,-7,1,40.528966
