,zipcode,Zipcode Latitude,Zipcode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,80478,40.001670000000004,-105.8686,Tabernash Tavern,39.99284782031814,-105.843889387497,American Restaurant
1,80478,40.001670000000004,-105.8686,Hot Tub Time Machine,39.995027346965585,-105.86800689457436,Mountain
2,80478,40.001670000000004,-105.8686,Dashing Thru the Snow,39.98887137794611,-105.88045720218473,Stables
3,80478,40.001670000000004,-105.8686,Strawberry Trails (BLM),40.003643990471794,-105.84459958081743,Trail
4,80478,40.001670000000004,-105.8686,Snooty Coyote,39.99303556666667,-105.84553533333333,Liquor Store
5,80478,40.001670000000004,-105.8686,Bonfire Cannabis Co,39.993002,-105.844605,Marijuana Dispensary
6,80478,40.001670000000004,-105.8686,Winter Park Co-ed Soccer Heaven,39.995497,-105.898043,Soccer Field
7,80480,40.62162100000001,-106.24457,Moose Creek Cafe,40.72948964307523,-106.2822755346904,Café
8,80480,40.62162100000001,-106.24457,Shell,40.728004713472124,-106.28188033445431,Gas Station
9,80480,40.62162100000001,-106.24457,Four Winds Pizza and Subs,40.71531498595317,-106.28233433757197,Pizza Place
10,80480,40.62162100000001,-106.24457,Arapaho National Wildlife Refuge,40.71955312180914,-106.2817079284743,Trail
11,80480,40.62162100000001,-106.24457,North Park Anglers,40.72909546359117,-106.28220790622156,Fishing Store
12,80480,40.62162100000001,-106.24457,Antler’s Inn,40.730333,-106.282406,Hotel
13,80480,40.62162100000001,-106.24457,River Rock Cafe,40.73037748634422,-106.2822572238463,American Restaurant
14,80480,40.62162100000001,-106.24457,Northpark Supers,40.74859262861821,-106.2813113952785,Grocery Store
15,80481,40.10613,-105.48043999999999,Kodiak Lake Studio,40.08459,-105.49079,Recording Studio
16,80481,40.10613,-105.48043999999999,Ceran St. Vrain,40.127959,-105.461556,Trail
17,80481,40.10613,-105.48043999999999,Glacier View Ranch,40.12871824547145,-105.46306379531349,Campground
