,zipcode,Zipcode Latitude,Zipcode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,80483,40.149432,-106.90681000000001,Oak Tree Inn Yampa,40.150161695954594,-106.9078478386727,Hotel
1,80483,40.149432,-106.90681000000001,Penny's Diner,40.150189673842334,-106.9079542118938,American Restaurant
2,80483,40.149432,-106.90681000000001,Antlers Cafe and Bar,40.15019989013672,-106.90867614746094,Café
3,80483,40.149432,-106.90681000000001,"Yampa, Colorado",40.150530484053625,-106.9029326299468,Trail
4,80487,40.502772,-106.87521000000001,Snow Bowl,40.50386294748217,-106.87037174962066,Bowling Alley
5,80487,40.502772,-106.87521000000001,Steamboat Springs KOA Holiday,40.50467860574824,-106.87804209325407,Campground
6,80487,40.502772,-106.87521000000001,Steamboat Campground,40.504824786038135,-106.87795079932133,Campground
7,80487,40.502772,-106.87521000000001,Four Star Auto Repair,40.50317605,-106.87014808,Auto Workshop
8,80487,40.502772,-106.87521000000001,Sharon's,40.503822,-106.870114,Breakfast Spot
9,80501,40.171484,-105.10033,Longs Peak Pub & Taphouse,40.17072017839812,-105.10297840215682,Restaurant
10,80501,40.171484,-105.10033,Tasty Asia,40.17208523886555,-105.10216733915539,Chinese Restaurant
11,80501,40.171484,-105.10033,Cafe Luna,40.17251720796581,-105.1034860603597,Food
12,80501,40.171484,-105.10033,Pumphouse Brewery,40.168719237579865,-105.10225558979663,Brewery
13,80501,40.171484,-105.10033,Roosevelt Park,40.17139955515272,-105.10410332729357,Park
14,80501,40.171484,-105.10033,The Roost,40.16837517225528,-105.1021890650588,American Restaurant
15,80501,40.171484,-105.10033,Lucile's Creole Cafe,40.16827532443291,-105.10117135685454,Cajun / Creole Restaurant
16,80501,40.171484,-105.10033,Your Butcher Frank,40.174225,-105.103402,Deli / Bodega
17,80501,40.171484,-105.10033,Flavor of India,40.16808097568834,-105.10231342942512,Indian Restaurant
18,80501,40.171484,-105.10033,Mike O'Shays Restaurant & Ale House,40.16794385613113,-105.10224719536781,American Restaurant
19,80501,40.171484,-105.10033,Scrumptious,40.16788657124001,-105.10236496185904,Dessert Shop
20,80501,40.171484,-105.10033,Winchell's Donut House,40.16753093975813,-105.10229358043996,Donut Shop
21,80501,40.171484,-105.10033,Longmont Theatre Company,40.167901839930224,-105.10278587592684,Theater
22,80501,40.171484,-105.10033,Crackpots,40.16780750272635,-105.10281367249192,Arts & Crafts Store
23,80501,40.171484,-105.10033,Red Zone,40.16884169113422,-105.1022227773895,Sports Bar
24,80501,40.171484,-105.10033,Dutch Bros Coffee,40.17519,-105.102895,Coffee Shop
25,80501,40.171484,-105.10033,La Vita Bella Coffee House,40.16733754961788,-105.10259065627788,Coffee Shop
26,80501,40.171484,-105.10033,Longmont Ice Pavilion,40.17251196119194,-105.10576128522594,Skating Rink
27,80501,40.171484,-105.10033,Dairy Queen,40.16967646269932,-105.10215640068054,Fast Food Restaurant
28,80501,40.171484,-105.10033,U.S. Bank Branch,40.173553126053214,-105.10426998138428,Bank
29,80501,40.171484,-105.10033,7-Eleven,40.1702208233645,-105.10293963172123,Convenience Store
30,80501,40.171484,-105.10033,Corner Store,40.17432106348424,-105.1021290349793,Convenience Store
31,80501,40.171484,-105.10033,Cheba Hut,40.1703488647688,-105.1030087578797,Sandwich Place
