,zipcode,child capacity,ageless5,pop,Latitude,Longitude,radius_meters,Desert,Few_Child,Not_Desert
0,80477,203.0,0,146,40.348242,-106.92691,100,0,1,0
1,80478,39.0,27,1625,40.001670000000004,-105.8686,5200,0,1,0
2,80480,15.0,89,1342,40.621621000000005,-106.24457,31400,1,0,0
3,80481,486.0,6,601,40.10613,-105.48043999999999,6800,0,1,0
4,80483,36.0,56,660,40.149432,-106.90681000000001,7500,0,0,1
5,80487,594.0,702,17708,40.502772,-106.87521000000001,21700,0,0,1
6,80498,96.0,333,7530,39.722417,-106.13743999999998,13100,1,0,0
7,80501,2157.0,2994,41996,40.171484,-105.10033,2800,0,0,1
8,80503,558.0,1546,33811,40.156034999999996,-105.17365,7800,0,0,1
9,80504,887.0,3598,52339,40.160138,-105.01772,8100,1,0,0
10,80510,359.0,8,398,40.223935,-105.52421000000001,6500,0,1,0
11,80511,80.0,0,150,40.628112,-105.569245,200,0,1,0
12,80512,434.0,38,1673,40.700258000000005,-105.64876000000001,17900,0,0,1
13,80758,146.0,262,3674,40.064734,-102.21336,20900,0,0,1
14,81001,551.0,2426,30765,38.282872,-104.57029,4700,1,0,0
15,81003,315.0,638,15040,38.281052,-104.62567,2300,0,0,1
16,81004,849.0,1761,26215,38.197344,-104.6331,10300,0,0,1
17,81005,602.0,1718,31361,38.235865000000004,-104.66972,12200,0,0,1
18,81006,165.0,524,11592,38.243266,-104.52911999999999,6100,1,0,0
19,81007,653.0,1579,30901,38.333601,-104.74329,9800,0,0,1
20,81008,214.0,709,10723,38.370203000000004,-104.61964,9300,1,0,0
21,81020,15.0,13,948,37.400040999999995,-104.66016,19300,0,1,0
22,81022,20.0,114,1435,38.089719,-104.37807,16600,1,0,0
23,81023,15.0,39,1430,38.069421000000006,-104.95608999999999,9000,0,0,1
24,81025,133.0,53,940,38.243711,-104.23281999999999,18800,0,0,1
25,81029,15.0,10,192,37.136682,-102.5296,18800,0,1,0
26,81030,15.0,8,150,38.107901,-103.51113000000001,500,0,1,0
27,81036,26.0,97,1002,38.467553,-102.80439,22200,1,0,0
28,81039,20.0,103,1732,38.002860999999996,-104.03445,19500,1,0,0
29,81137,46.0,391,5785,37.099348,-107.64223,11600,1,0,0
30,81040,21.0,0,301,37.777997,-105.20071999999999,18300,0,1,0
31,81041,28.0,60,726,37.962678000000004,-102.33025,17200,0,0,1
32,81047,44.0,150,1549,38.060575,-102.19677,19700,1,0,0
33,81049,15.0,10,306,37.242629,-103.47108,28800,0,1,0
34,81050,309.0,551,9064,37.995878999999995,-103.54001,18700,0,0,1
35,81052,332.0,561,9119,38.087590000000006,-102.61855,20700,0,0,1
36,81054,128.0,159,4910,38.037434999999995,-103.18630999999999,25100,0,0,1
37,81055,19.0,23,1410,37.499829,-105.02943,12900,0,1,0
38,80918,1631.0,2802,48995,38.916226,-104.76602,2700,0,0,1
39,80919,763.0,1423,27541,38.925451,-104.85255,3000,0,0,1
40,80920,1325.0,2627,38618,38.952366,-104.76701,2800,0,0,1
41,80921,527.0,1409,21870,39.044969,-104.83755,7500,0,0,1
42,80922,1204.0,2301,28508,38.897344,-104.70145,1900,0,0,1
43,80924,50.0,502,8087,39.527772,-106.03941200000001,1800,1,0,0
44,80925,234.0,1111,9694,38.758252,-104.6555,3900,1,0,0
45,80863,1058.0,477,12876,38.996004,-105.06335,8900,0,0,1
46,80864,15.0,52,1341,38.688075,-104.17321,12600,1,0,0
47,80902,162.0,1974,12931,38.942365,-104.80708100000001,3000,1,0,0
48,80903,912.0,560,15879,38.834282,-104.81654,1700,0,0,1
49,80904,652.0,694,20091,38.850558,-104.86481,2400,0,0,1
50,80905,319.0,1211,17087,38.837542,-104.83632,1700,1,0,0
51,80906,962.0,2045,35664,38.791242,-104.82491999999999,5500,0,0,1
52,80907,494.0,1053,28190,38.873692,-104.81869,2500,0,0,1
53,80908,237.0,934,16657,39.035216,-104.69575,7800,1,0,0
54,80909,843.0,2661,38731,38.851493,-104.77856,2300,1,0,0
55,80910,456.0,2335,30379,38.813044,-104.77158,1900,1,0,0
56,80911,863.0,2423,34718,38.746807000000004,-104.7232,2800,0,0,1
57,80913,98.0,35,3428,38.743871,-104.76387,4100,0,0,1
58,80915,241.0,1296,21078,38.858644,-104.70891999999999,2200,1,0,0
59,80916,670.0,4625,40125,38.808934,-104.73823,3300,1,0,0
60,80917,689.0,1791,31036,38.888394,-104.73975,2000,0,0,1
61,81058,65.0,37,926,38.107593,-103.86848,5800,0,0,1
62,81063,74.0,74,2738,38.253190999999994,-103.76209,16400,0,0,1
63,81064,15.0,8,271,37.315497,-102.95461999999999,17700,0,1,0
64,81067,163.0,358,5986,38.042083,-103.72231,13800,0,0,1
65,81069,590.0,50,1530,37.909758000000004,-104.89891999999999,13300,0,0,1
66,81073,90.0,105,1947,37.409787,-102.61726,20300,0,0,1
67,81077,9.0,62,686,38.015189,-103.62827,500,1,0,0
68,81082,296.0,596,11176,37.191882,-104.47809000000001,19700,0,0,1
69,81087,15.0,12,143,37.377938,-102.42882,5100,0,1,0
70,81089,356.0,33,4352,37.621071,-104.80456,21200,0,0,1
71,81090,25.0,55,941,37.347009,-102.26776,20300,0,0,1
72,81091,121.0,14,676,37.193451,-104.97188,16700,0,1,0
